Grid Point,Drawing X,Drawing Y,rssi
1,142,46,-65
3,187,42,-62
4,232,42,-59
5,137,92,-67
6,187,89,-68
7,232,85,-61
8,147,138,-67
9,192,145,-66
10,232,145,-64
11,237,188,-74
12,177,191,-74
13,162,260,-79
14,172,303,-84
15,227,306,-83
16,278,306,-70
17,333,310,-67
18,398,300,-66
19,398,221,-69
20,318,224,-63
21,273,151,-61
22,273,95,-59
23,278,42,-54
24,353,33,-48
25,368,115,-55
26,405,184,-63
27,405,135,-62
28,461,141,-61
29,501,141,-63
30,506,99,-63
31,501,36,-63
32,451,29,-64
33,421,42,-61
34,400,85,-62
35,411,145,-60
36,476,224,-71
37,441,231,-68
38,511,227,-72
39,506,300,-76
40,506,270,-77
41,471,297,-78
42,456,264,-77
43,544,188,-73
44,609,191,-77
45,634,184,-77
46,624,135,-71
47,584,138,-67
48,544,132,-69
49,544,92,-70
50,549,52,-69
51,549,26,-68
52,584,29,-77
53,624,36,-77
54,624,102,-75
55,35,188,-82
56,37,138,-82
57,37,69,-82
58,52,29,-82
59,102,29,-80
60,102,95,-77
61,97,165,-72
