Grid Point,Drawing X,Drawing Y,rssi
1,105,118,-60
2,196,118,-64
3,275,118,-63
4,354,118,-70
5,433,118,-72
6,525,118,-71
7,630,118,-70
8,722,118,-53
9,827,118,-52
10,932,128,-62
11,1050,118,-81
12,1155,118,-80
13,91,216,-77
14,196,236,-74
15,301,236,-69
16,393,236,-48
17,498,236,-48
21,630,256,-51
22,709,256,-70
23,814,256,-80
24,932,256,-75
25,1050,275,-63
26,1155,265,-65
27,105,374,-52
28,223,384,-39
29,328,384,-53
30,433,394,-81
31,538,394,-73
32,643,394,-75
33,748,394,-69
34,866,403,-59
35,1024,423,-56
36,1207,423,-55
37,91,522,-63
38,236,541,-65
39,341,531,-52
40,472,531,-39
41,551,531,-53
42,656,531,-81
43,800,522,-73
44,932,512,-61
45,1129,551,-67
46,105,659,-50
47,301,659,-47
48,433,679,-52
49,551,679,-39
50,643,699,-45
51,814,689,-48
52,971,679,-73
53,1181,679,-71
54,91,856,-63
55,288,866,-65
56,433,866,-62
57,630,856,-60
58,787,866,-62
59,958,856,-81
60,1116,856,-73
