Grid Point,Drawing X,Drawing Y,rssi
1,24,49,-83
2,77,49,-83
3,155,49,-82
4,237,49,-82
5,300,49,-82
6,470,44,-67
7,538,49,-59
8,633,49,-53
9,714,49,-52
10,762,49,-62
11,52,142,-81
12,155,142,-78
13,252,142,-77
14,349,130,-74
15,440,130,-69
16,547,142,-48
17,633,142,-48
21,728,152,-51
22,52,225,-82
23,155,225,-80
24,252,225,-75
25,349,225,-63
26,440,225,-65
27,534,225,-52
28,633,225,-39
29,736,225,-53
30,52,314,-81
31,155,314,-73
32,252,314,-75
33,349,314,-69
34,440,314,-59
35,534,314,-56
36,633,314,-55
37,736,314,-47
38,52,395,-75
39,155,400,-75
40,251,400,-67
41,349,400,-69
42,440,400,-71
43,534,400,-65
44,633,400,-61
45,697,400,-67
46,39,460,-84
47,155,486,-75
48,252,486,-74
49,349,486,-66
50,440,486,-69
51,534,486,-66
52,633,486,-62
53,736,486,-71
