Grid Point,Drawing X,Drawing Y,rssi
1,119,75,-80
3,119,150,-70
4,119,225,-55
5,119,300,-55
6,119,375,-60
7,119,450,-65
8,119,525,-60
9,119,600,-55
10,119,675,-45
11,119,750,-50
12,119,825,-75
13,119,900,-80
14,119,975,-80
15,238,75,-50
16,238,150,-40
17,238,225,-40
18,238,300,-30
19,238,375,-30
20,238,450,-65
21,238,525,-70
22,238,600,-35
23,238,675,-65
24,238,750,-50
25,238,825,-50
26,238,900,-75
27,238,975,-45
28,357,75,-45
29,357,150,-30
30,357,225,-65
31,357,300,-45
32,357,375,-50
33,357,450,-80
34,357,525,-80
35,357,600,-80
36,357,675,-80
37,357,750,-80
38,357,825,-80
39,357,900,-45
40,357,975,-40
41,476,75,-80
42,476,150,-65
43,476,225,-55
44,476,300,-65
45,476,375,-75
46,476,450,-50
47,476,525,-75
48,476,600,-80
49,476,675,-80
50,476,750,-80
51,476,825,-80
52,476,900,-45
53,476,975,-45
54,595,75,-35
55,595,150,-40
56,595,225,-60
57,595,300,-50
58,595,375,-40
59,595,450,-40
60,595,525,-70
61,595,600,-80
62,595,675,-80
63,595,750,-80
64,595,825,-80
65,595,900,-75
66,595,975,-40
67,714,75,-40
68,714,150,-40
69,714,225,-45
70,714,300,-55
71,714,375,-75
72,714,450,-75
73,714,525,-75
74,714,600,-65
75,714,675,-75
76,714,750,-75
77,714,825,-80
78,714,900,-80
79,714,975,-80
80,833,75,-75
81,833,150,-30
82,833,225,-45
83,833,300,-80
84,833,375,-80
85,833,450,-80
86,833,525,-80
87,833,600,-80
88,833,675,-80
89,833,750,-80
90,833,825,-60
91,833,900,-80
92,833,975,-80
93,952,75,-75
94,952,150,-35
95,952,225,-80
96,952,300,-80
97,952,375,-70
98,952,450,-70
99,952,525,-75
100,952,600,-60
101,952,675,-70
102,952,750,-70
103,952,825,-60
104,952,900,-80
105,952,975,-80
106,1071,75,-80
107,1071,150,-75
108,1071,225,-80
109,1071,300,-80
110,1071,375,-75
111,1071,450,-60
112,1071,525,-65
113,1071,600,-75
114,1071,675,-75
115,1071,750,-75
116,1071,825,-40
117,1071,900,-65
118,1071,975,-80
119,1190,75,-80
120,1190,150,-80
121,1190,225,-80
122,1190,300,-65
123,1190,375,-65
124,1190,450,-50
125,1190,525,-40
126,1190,600,-80
127,1190,675,-80
128,1190,750,-65
129,1190,825,-70
130,1190,900,-65
131,1190,975,-75
132,1309,75,-80
133,1309,150,-80
134,1309,225,-70
135,1309,300,-35
136,1309,375,-70
137,1309,450,-40
138,1309,525,-40
139,1309,600,-55
140,1309,675,-65
141,1309,750,-60
142,1309,825,-80
143,1309,900,-80
144,1309,975,-80
145,1428,75,-80
146,1428,150,-80
147,1428,225,-65
148,1428,300,-40
149,1428,375,-40
150,1428,450,-35
151,1428,525,-65
152,1428,600,-50
153,1428,675,-30
154,1428,750,-50
155,1428,825,-80
156,1428,900,-80
157,1428,975,-80
158,1544,75,-80
159,1544,150,-80
160,1544,225,-65
161,1544,300,-50
162,1544,375,-30
163,1544,450,-45
164,1544,525,-65
165,1544,600,-70
166,1544,675,-35
167,1544,750,-40
168,1544,825,-65
169,1544,900,-80
170,1544,975,-80
